"subj_id","trial","pA","xA1","xA2","pB","xB1","xB2","choice"
2,173,0.45,-55,72,0.59,37,-34,0
2,174,0.61,96,-67,0.5,71,-26,1
2,175,0.99,67,-3,0.68,74,-2,0
2,176,0.74,77,-23,0.67,75,-7,1
2,177,0.13,-13,27,0.34,-18,70,1
2,178,0.93,75,-90,0.87,96,-89,1
2,179,0.27,1,-85,0.18,26,-51,1
2,180,0.73,85,-22,0.25,-100,76,0
3,1,0.29,88,78,0.29,53,91,0
3,2,0.82,26,34,0.49,18,31,1
3,3,0.59,31,63,0.89,92,20,1
3,4,0.07,51,35,0.6,9,89,0
3,5,0.48,13,70,0.18,72,60,1
3,6,0.63,41,18,0.98,56,8,1
3,7,0.17,70,65,0.35,100,50,1
3,8,0.98,76,37,0.82,49,50,0
3,9,0.37,26,64,0.89,19,81,0
3,10,0.19,43,5,0.14,91,6,1
3,11,0.91,43,96,0.66,48,38,0
3,12,0.33,69,56,0.4,89,37,1
3,13,0.99,24,53,0.71,17,77,1
3,14,0.24,47,27,0.88,45,29,1
3,15,0.09,56,19,0.76,13,90,1
3,16,0.88,72,29,0.39,67,63,1
3,17,0.61,37,50,0.6,6,45,0
3,18,0.9,76,69,0.66,19,79,0
3,19,0.69,57,40,0.07,39,74,1
3,20,0.01,53,99,0.83,87,61,0
3,21,0.12,52,73,0.98,92,19,1
3,22,0.38,40,55,0.14,26,96,1
3,23,0.16,66,23,0.79,15,29,0
3,24,0.31,100,48,0.58,100,1,0
3,25,0.05,60,76,0.84,95,17,1
3,26,0.62,1,83,0.41,37,24,1
3,27,0.8,54,21,0.49,98,3,0
3,28,0.34,24,59,0.42,47,64,1
3,29,0.19,30,97,0.14,85,82,1
3,30,0.74,62,0,0.44,23,31,0
3,31,0.99,31,68,0.04,32,47,1
3,32,0.76,37,5,0.18,12,28,1
3,33,0.74,65,6,0.64,93,35,1
3,34,0.08,82,72,0.27,47,77,0
3,35,0.88,79,82,0.2,57,94,0
3,36,0.56,63,21,1,36,0,0
3,37,0.93,86,27,0.8,87,18,0
3,38,0.61,68,39,0.6,77,48,1
3,39,0.68,41,65,0.85,100,2,1
3,40,0,0,46,0.36,52,36,0
